age,gender,primary_device,educational_to_recreational_ratio,health_impacts,urban_or_rural,age_group,usage_category,health_impact_level,daily_screen_time_min,screen_time_risk
13,Male,Tv,0.36,None,Rural,11-15 yrs,Mostly Recreational,High Risk,176,Slightly Over Limit
12,Male,Tv,0.46,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,280,Excessive Usage
15,Female,Laptop,0.48,Eye Strain,Urban,11-15 yrs,Balanced,Moderate Risk,197,Excessive Usage
8,Female,Tv,0.54,None,Urban,5-10 yrs,Mostly Educational,Low Risk,127,Slightly Over Limit
8,Male,Smartphone,0.53,"Poor Sleep, Eye Strain",Rural,5-10 yrs,Mostly Educational,Low Risk,430,Excessive Usage
18,Female,Smartphone,0.4,None,Urban,16-20 yrs,Balanced,Moderate Risk,167,Slightly Over Limit
13,Female,Smartphone,0.45,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,388,Excessive Usage
17,Male,Laptop,0.36,"Poor Sleep, Obesity Risk",Urban,16-20 yrs,Mostly Recreational,High Risk,234,Excessive Usage
9,Female,Tablet,0.4,Poor Sleep,Rural,5-10 yrs,Balanced,Moderate Risk,263,Excessive Usage
12,Female,Smartphone,0.34,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,313,Excessive Usage
8,Male,Tv,0.52,Obesity Risk,Urban,5-10 yrs,Mostly Educational,Low Risk,251,Excessive Usage
14,Female,Laptop,0.49,Eye Strain,Urban,11-15 yrs,Balanced,Moderate Risk,254,Excessive Usage
8,Male,Tv,0.52,None,Rural,5-10 yrs,Mostly Educational,Low Risk,154,Excessive Usage
11,Female,Tablet,0.34,None,Urban,11-15 yrs,Mostly Recreational,High Risk,156,Slightly Over Limit
16,Male,Tv,0.4,Eye Strain,Rural,16-20 yrs,Balanced,Moderate Risk,265,Excessive Usage
8,Female,Smartphone,0.45,None,Urban,5-10 yrs,Balanced,Moderate Risk,24,Within Limit
11,Female,Smartphone,0.31,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,337,Excessive Usage
13,Female,Laptop,0.3,None,Urban,11-15 yrs,Mostly Recreational,High Risk,160,Slightly Over Limit
13,Female,Smartphone,0.46,None,Urban,11-15 yrs,Balanced,Moderate Risk,218,Excessive Usage
15,Male,Tv,0.49,None,Urban,11-15 yrs,Balanced,Moderate Risk,225,Excessive Usage
8,Female,Smartphone,0.46,Poor Sleep,Rural,5-10 yrs,Balanced,Moderate Risk,259,Excessive Usage
14,Male,Smartphone,0.49,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,401,Excessive Usage
8,Male,Tv,0.54,None,Urban,5-10 yrs,Mostly Educational,Low Risk,0,Within Limit
14,Male,Smartphone,0.38,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,225,Excessive Usage
10,Female,Smartphone,0.41,None,Rural,5-10 yrs,Balanced,Moderate Risk,91,Slightly Over Limit
18,Male,Smartphone,0.4,Poor Sleep,Rural,16-20 yrs,Balanced,Moderate Risk,329,Excessive Usage
15,Female,Smartphone,0.37,"Poor Sleep, Anxiety, Obesity Risk",Urban,11-15 yrs,Mostly Recreational,High Risk,329,Excessive Usage
10,Female,Tablet,0.47,None,Rural,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
8,Female,Smartphone,0.59,None,Urban,5-10 yrs,Mostly Educational,Low Risk,0,Within Limit
15,Female,Smartphone,0.42,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,188,Excessive Usage
10,Female,Tv,0.58,None,Urban,5-10 yrs,Mostly Educational,Low Risk,91,Slightly Over Limit
9,Male,Tablet,0.49,None,Urban,5-10 yrs,Balanced,Moderate Risk,169,Excessive Usage
8,Female,Tv,0.53,"Poor Sleep, Eye Strain",Urban,5-10 yrs,Mostly Educational,Low Risk,434,Excessive Usage
10,Male,Smartphone,0.45,None,Urban,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
9,Female,Tv,0.56,None,Rural,5-10 yrs,Mostly Educational,Low Risk,130,Slightly Over Limit
9,Male,Smartphone,0.58,None,Rural,5-10 yrs,Mostly Educational,Low Risk,284,Excessive Usage
13,Female,Smartphone,0.38,None,Urban,11-15 yrs,Mostly Recreational,High Risk,166,Slightly Over Limit
8,Female,Tablet,0.45,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,402,Excessive Usage
9,Female,Tablet,0.48,"Poor Sleep, Anxiety",Urban,5-10 yrs,Balanced,Moderate Risk,268,Excessive Usage
13,Male,Tablet,0.4,"Eye Strain, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,426,Excessive Usage
10,Male,Smartphone,0.6,None,Urban,5-10 yrs,Mostly Educational,Low Risk,359,Excessive Usage
11,Female,Laptop,0.36,Eye Strain,Rural,11-15 yrs,Mostly Recreational,High Risk,330,Excessive Usage
8,Male,Smartphone,0.57,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,229,Excessive Usage
15,Male,Laptop,0.43,None,Urban,11-15 yrs,Balanced,Moderate Risk,224,Excessive Usage
14,Male,Laptop,0.34,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,376,Excessive Usage
14,Male,Smartphone,0.38,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,365,Excessive Usage
10,Male,Tv,0.46,None,Urban,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
17,Female,Smartphone,0.42,"Eye Strain, Anxiety",Urban,16-20 yrs,Balanced,Moderate Risk,329,Excessive Usage
17,Female,Smartphone,0.38,"Poor Sleep, Obesity Risk",Urban,16-20 yrs,Mostly Recreational,High Risk,304,Excessive Usage
10,Male,Tv,0.43,None,Urban,5-10 yrs,Balanced,Moderate Risk,503,Excessive Usage
9,Male,Tablet,0.4,"Poor Sleep, Eye Strain, Obesity Risk",Urban,5-10 yrs,Balanced,Moderate Risk,302,Excessive Usage
8,Male,Smartphone,0.5,Eye Strain,Urban,5-10 yrs,Mostly Educational,Low Risk,228,Excessive Usage
14,Male,Smartphone,0.42,None,Urban,11-15 yrs,Balanced,Moderate Risk,181,Excessive Usage
14,Female,Laptop,0.45,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,317,Excessive Usage
9,Male,Tv,0.52,Eye Strain,Urban,5-10 yrs,Mostly Educational,Low Risk,259,Excessive Usage
14,Female,Tv,0.34,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,316,Excessive Usage
15,Female,Smartphone,0.45,"Eye Strain, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,419,Excessive Usage
8,Female,Tv,0.56,"Poor Sleep, Anxiety",Urban,5-10 yrs,Mostly Educational,Low Risk,190,Excessive Usage
16,Female,Smartphone,0.45,Poor Sleep,Rural,16-20 yrs,Balanced,Moderate Risk,208,Slightly Over Limit
14,Male,Laptop,0.44,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,215,Excessive Usage
10,Male,Tablet,0.5,Poor Sleep,Rural,5-10 yrs,Mostly Educational,Low Risk,388,Excessive Usage
15,Male,Smartphone,0.47,"Poor Sleep, Obesity Risk",Rural,11-15 yrs,Balanced,Moderate Risk,296,Excessive Usage
14,Male,Smartphone,0.48,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,302,Excessive Usage
18,Male,Smartphone,0.45,None,Urban,16-20 yrs,Balanced,Moderate Risk,358,Excessive Usage
15,Male,Tv,0.41,None,Urban,11-15 yrs,Balanced,Moderate Risk,326,Excessive Usage
13,Female,Smartphone,0.44,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,214,Excessive Usage
16,Female,Smartphone,0.31,None,Rural,16-20 yrs,Mostly Recreational,High Risk,459,Excessive Usage
12,Female,Smartphone,0.36,"Poor Sleep, Eye Strain, Obesity Risk",Urban,11-15 yrs,Mostly Recreational,High Risk,258,Excessive Usage
10,Male,Smartphone,0.54,None,Urban,5-10 yrs,Mostly Educational,Low Risk,375,Excessive Usage
10,Male,Smartphone,0.48,None,Urban,5-10 yrs,Balanced,Moderate Risk,318,Excessive Usage
8,Female,Tv,0.42,"Poor Sleep, Eye Strain, Anxiety",Urban,5-10 yrs,Balanced,Moderate Risk,454,Excessive Usage
15,Female,Laptop,0.45,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,277,Excessive Usage
9,Male,Smartphone,0.56,Poor Sleep,Rural,5-10 yrs,Mostly Educational,Low Risk,271,Excessive Usage
10,Female,Tv,0.55,None,Urban,5-10 yrs,Mostly Educational,Low Risk,58,Within Limit
15,Female,Laptop,0.5,Poor Sleep,Urban,11-15 yrs,Mostly Educational,Low Risk,192,Excessive Usage
15,Male,Laptop,0.37,None,Urban,11-15 yrs,Mostly Recreational,High Risk,162,Slightly Over Limit
18,Male,Smartphone,0.34,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,190,Slightly Over Limit
11,Male,Smartphone,0.46,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,205,Excessive Usage
11,Male,Tv,0.39,None,Rural,11-15 yrs,Mostly Recreational,High Risk,217,Excessive Usage
12,Female,Laptop,0.42,None,Urban,11-15 yrs,Balanced,Moderate Risk,211,Excessive Usage
13,Female,Smartphone,0.39,None,Urban,11-15 yrs,Mostly Recreational,High Risk,232,Excessive Usage
12,Male,Smartphone,0.41,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,284,Excessive Usage
14,Female,Smartphone,0.33,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,269,Excessive Usage
9,Female,Tablet,0.5,None,Urban,5-10 yrs,Mostly Educational,Low Risk,130,Slightly Over Limit
14,Female,Laptop,0.33,"Anxiety, Obesity Risk",Urban,11-15 yrs,Mostly Recreational,High Risk,257,Excessive Usage
17,Female,Smartphone,0.39,"Poor Sleep, Anxiety",Rural,16-20 yrs,Mostly Recreational,High Risk,263,Excessive Usage
14,Female,Laptop,0.32,Eye Strain,Urban,11-15 yrs,Mostly Recreational,High Risk,256,Excessive Usage
8,Female,Smartphone,0.42,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,202,Excessive Usage
14,Female,Tv,0.45,None,Urban,11-15 yrs,Balanced,Moderate Risk,326,Excessive Usage
12,Male,Smartphone,0.47,"Poor Sleep, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,332,Excessive Usage
10,Female,Smartphone,0.4,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,275,Excessive Usage
10,Male,Tv,0.52,None,Urban,5-10 yrs,Mostly Educational,Low Risk,106,Slightly Over Limit
11,Male,Smartphone,0.44,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,453,Excessive Usage
9,Male,Smartphone,0.52,None,Urban,5-10 yrs,Mostly Educational,Low Risk,0,Within Limit
9,Male,Tablet,0.54,None,Rural,5-10 yrs,Mostly Educational,Low Risk,0,Within Limit
8,Male,Tv,0.6,None,Urban,5-10 yrs,Mostly Educational,Low Risk,50,Within Limit
12,Female,Laptop,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,290,Excessive Usage
11,Male,Laptop,0.36,Eye Strain,Rural,11-15 yrs,Mostly Recreational,High Risk,232,Excessive Usage
18,Male,Smartphone,0.4,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,362,Excessive Usage
17,Male,Smartphone,0.36,"Eye Strain, Anxiety",Urban,16-20 yrs,Mostly Recreational,High Risk,265,Excessive Usage
9,Female,Tv,0.44,"Poor Sleep, Obesity Risk",Urban,5-10 yrs,Balanced,Moderate Risk,230,Excessive Usage
10,Male,Tv,0.58,None,Urban,5-10 yrs,Mostly Educational,Low Risk,143,Slightly Over Limit
14,Female,Laptop,0.36,None,Urban,11-15 yrs,Mostly Recreational,High Risk,311,Excessive Usage
14,Female,Smartphone,0.31,None,Rural,11-15 yrs,Mostly Recreational,High Risk,274,Excessive Usage
11,Female,Laptop,0.32,Eye Strain,Urban,11-15 yrs,Mostly Recreational,High Risk,281,Excessive Usage
12,Female,Smartphone,0.4,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,333,Excessive Usage
12,Female,Tv,0.48,"Poor Sleep, Eye Strain",Rural,11-15 yrs,Balanced,Moderate Risk,290,Excessive Usage
13,Female,Smartphone,0.44,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,289,Excessive Usage
16,Female,Smartphone,0.4,"Poor Sleep, Anxiety",Urban,16-20 yrs,Balanced,Moderate Risk,297,Excessive Usage
9,Female,Tv,0.47,None,Urban,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
12,Female,Tv,0.44,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,218,Excessive Usage
10,Male,Tablet,0.43,Eye Strain,Urban,5-10 yrs,Balanced,Moderate Risk,347,Excessive Usage
11,Male,Smartphone,0.46,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,224,Excessive Usage
17,Female,Smartphone,0.45,None,Urban,16-20 yrs,Balanced,Moderate Risk,176,Slightly Over Limit
13,Male,Tv,0.49,None,Rural,11-15 yrs,Balanced,Moderate Risk,422,Excessive Usage
15,Male,Tv,0.43,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,325,Excessive Usage
8,Male,Tablet,0.44,None,Urban,5-10 yrs,Balanced,Moderate Risk,409,Excessive Usage
17,Female,Smartphone,0.31,"Poor Sleep, Obesity Risk",Urban,16-20 yrs,Mostly Recreational,High Risk,214,Excessive Usage
15,Male,Smartphone,0.44,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,249,Excessive Usage
18,Female,Tv,0.39,None,Urban,16-20 yrs,Mostly Recreational,High Risk,191,Slightly Over Limit
14,Female,Smartphone,0.42,Anxiety,Urban,11-15 yrs,Balanced,Moderate Risk,295,Excessive Usage
8,Female,Tv,0.44,None,Rural,5-10 yrs,Balanced,Moderate Risk,59,Within Limit
9,Female,Smartphone,0.55,Poor Sleep,Rural,5-10 yrs,Mostly Educational,Low Risk,458,Excessive Usage
10,Male,Tv,0.45,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,281,Excessive Usage
8,Female,Smartphone,0.44,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,233,Excessive Usage
16,Female,Smartphone,0.4,None,Rural,16-20 yrs,Balanced,Moderate Risk,158,Slightly Over Limit
15,Male,Laptop,0.34,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,313,Excessive Usage
9,Male,Tv,0.52,Eye Strain,Urban,5-10 yrs,Mostly Educational,Low Risk,352,Excessive Usage
16,Male,Laptop,0.38,"Poor Sleep, Eye Strain",Rural,16-20 yrs,Mostly Recreational,High Risk,302,Excessive Usage
14,Female,Smartphone,0.39,None,Urban,11-15 yrs,Mostly Recreational,High Risk,86,Within Limit
16,Male,Smartphone,0.42,Eye Strain,Rural,16-20 yrs,Balanced,Moderate Risk,297,Excessive Usage
13,Female,Laptop,0.45,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,396,Excessive Usage
13,Male,Tv,0.4,None,Urban,11-15 yrs,Balanced,Moderate Risk,316,Excessive Usage
18,Male,Tv,0.33,None,Urban,16-20 yrs,Mostly Recreational,High Risk,153,Slightly Over Limit
11,Male,Tv,0.35,None,Rural,11-15 yrs,Mostly Recreational,High Risk,245,Excessive Usage
17,Female,Smartphone,0.34,Eye Strain,Urban,16-20 yrs,Mostly Recreational,High Risk,276,Excessive Usage
17,Male,Smartphone,0.43,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,341,Excessive Usage
9,Female,Tv,0.58,Poor Sleep,Rural,5-10 yrs,Mostly Educational,Low Risk,338,Excessive Usage
14,Female,Tv,0.49,"Poor Sleep, Anxiety",Rural,11-15 yrs,Balanced,Moderate Risk,308,Excessive Usage
12,Male,Smartphone,0.32,Eye Strain,Rural,11-15 yrs,Mostly Recreational,High Risk,353,Excessive Usage
18,Female,Smartphone,0.34,Eye Strain,Urban,16-20 yrs,Mostly Recreational,High Risk,234,Excessive Usage
13,Male,Laptop,0.37,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,350,Excessive Usage
9,Female,Smartphone,0.6,None,Rural,5-10 yrs,Mostly Educational,Low Risk,275,Excessive Usage
12,Male,Smartphone,0.33,Obesity Risk,Rural,11-15 yrs,Mostly Recreational,High Risk,297,Excessive Usage
17,Female,Smartphone,0.33,None,Urban,16-20 yrs,Mostly Recreational,High Risk,154,Slightly Over Limit
11,Male,Smartphone,0.43,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,257,Excessive Usage
16,Female,Smartphone,0.5,Poor Sleep,Urban,16-20 yrs,Mostly Educational,Low Risk,256,Excessive Usage
13,Female,Tablet,0.49,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,266,Excessive Usage
9,Male,Tv,0.46,"Poor Sleep, Eye Strain, Anxiety",Urban,5-10 yrs,Balanced,Moderate Risk,335,Excessive Usage
8,Male,Tv,0.59,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,280,Excessive Usage
12,Male,Smartphone,0.42,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,258,Excessive Usage
16,Female,Smartphone,0.48,"Eye Strain, Anxiety",Urban,16-20 yrs,Balanced,Moderate Risk,224,Excessive Usage
13,Male,Laptop,0.44,Eye Strain,Urban,11-15 yrs,Balanced,Moderate Risk,268,Excessive Usage
17,Male,Tablet,0.38,"Poor Sleep, Obesity Risk",Urban,16-20 yrs,Mostly Recreational,High Risk,262,Excessive Usage
14,Female,Smartphone,0.35,None,Rural,11-15 yrs,Mostly Recreational,High Risk,278,Excessive Usage
12,Female,Smartphone,0.42,None,Urban,11-15 yrs,Balanced,Moderate Risk,145,Slightly Over Limit
17,Male,Laptop,0.43,"Poor Sleep, Anxiety",Rural,16-20 yrs,Balanced,Moderate Risk,205,Slightly Over Limit
13,Male,Smartphone,0.31,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,308,Excessive Usage
12,Male,Laptop,0.38,None,Urban,11-15 yrs,Mostly Recreational,High Risk,287,Excessive Usage
18,Male,Tv,0.38,None,Urban,16-20 yrs,Mostly Recreational,High Risk,175,Slightly Over Limit
16,Male,Laptop,0.46,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,292,Excessive Usage
13,Male,Smartphone,0.37,None,Urban,11-15 yrs,Mostly Recreational,High Risk,109,Within Limit
18,Male,Tablet,0.49,"Poor Sleep, Anxiety",Urban,16-20 yrs,Balanced,Moderate Risk,377,Excessive Usage
15,Male,Laptop,0.31,Anxiety,Rural,11-15 yrs,Mostly Recreational,High Risk,221,Excessive Usage
9,Male,Tv,0.41,"Poor Sleep, Anxiety, Obesity Risk",Rural,5-10 yrs,Balanced,Moderate Risk,233,Excessive Usage
16,Female,Smartphone,0.47,None,Urban,16-20 yrs,Balanced,Moderate Risk,281,Excessive Usage
12,Male,Smartphone,0.44,"Eye Strain, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,370,Excessive Usage
14,Female,Laptop,0.46,None,Rural,11-15 yrs,Balanced,Moderate Risk,173,Slightly Over Limit
17,Male,Tv,0.38,"Poor Sleep, Anxiety",Urban,16-20 yrs,Mostly Recreational,High Risk,210,Slightly Over Limit
8,Male,Tv,0.57,Anxiety,Urban,5-10 yrs,Mostly Educational,Low Risk,287,Excessive Usage
17,Male,Tablet,0.41,None,Urban,16-20 yrs,Balanced,Moderate Risk,277,Excessive Usage
12,Male,Smartphone,0.33,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,241,Excessive Usage
17,Female,Laptop,0.49,"Poor Sleep, Obesity Risk",Rural,16-20 yrs,Balanced,Moderate Risk,266,Excessive Usage
9,Male,Tablet,0.4,None,Urban,5-10 yrs,Balanced,Moderate Risk,8,Within Limit
13,Male,Tv,0.48,"Eye Strain, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,196,Excessive Usage
18,Female,Smartphone,0.47,Eye Strain,Urban,16-20 yrs,Balanced,Moderate Risk,214,Excessive Usage
8,Male,Smartphone,0.51,"Poor Sleep, Obesity Risk",Urban,5-10 yrs,Mostly Educational,Low Risk,475,Excessive Usage
10,Female,Tablet,0.45,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,725,Excessive Usage
12,Male,Smartphone,0.36,None,Rural,11-15 yrs,Mostly Recreational,High Risk,300,Excessive Usage
11,Male,Laptop,0.39,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,276,Excessive Usage
10,Female,Smartphone,0.58,"Poor Sleep, Obesity Risk",Urban,5-10 yrs,Mostly Educational,Low Risk,183,Excessive Usage
17,Male,Tablet,0.36,Poor Sleep,Rural,16-20 yrs,Mostly Recreational,High Risk,207,Slightly Over Limit
12,Male,Tablet,0.49,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,313,Excessive Usage
18,Female,Tv,0.34,None,Urban,16-20 yrs,Mostly Recreational,High Risk,169,Slightly Over Limit
15,Male,Smartphone,0.37,None,Urban,11-15 yrs,Mostly Recreational,High Risk,183,Excessive Usage
18,Female,Laptop,0.49,"Eye Strain, Anxiety",Rural,16-20 yrs,Balanced,Moderate Risk,297,Excessive Usage
11,Male,Laptop,0.37,"Poor Sleep, Obesity Risk",Rural,11-15 yrs,Mostly Recreational,High Risk,247,Excessive Usage
8,Female,Smartphone,0.4,None,Rural,5-10 yrs,Balanced,Moderate Risk,74,Within Limit
18,Male,Tv,0.38,"Poor Sleep, Anxiety",Rural,16-20 yrs,Mostly Recreational,High Risk,232,Excessive Usage
14,Male,Smartphone,0.46,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,348,Excessive Usage
15,Male,Smartphone,0.36,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,363,Excessive Usage
10,Male,Tv,0.44,None,Urban,5-10 yrs,Balanced,Moderate Risk,98,Slightly Over Limit
13,Female,Laptop,0.48,None,Urban,11-15 yrs,Balanced,Moderate Risk,102,Within Limit
9,Female,Smartphone,0.58,None,Urban,5-10 yrs,Mostly Educational,Low Risk,109,Slightly Over Limit
14,Female,Tablet,0.35,"Poor Sleep, Eye Strain",Rural,11-15 yrs,Mostly Recreational,High Risk,207,Excessive Usage
15,Female,Laptop,0.39,Obesity Risk,Urban,11-15 yrs,Mostly Recreational,High Risk,217,Excessive Usage
13,Male,Smartphone,0.34,Anxiety,Urban,11-15 yrs,Mostly Recreational,High Risk,317,Excessive Usage
13,Female,Smartphone,0.48,"Poor Sleep, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,230,Excessive Usage
12,Female,Laptop,0.37,Anxiety,Rural,11-15 yrs,Mostly Recreational,High Risk,263,Excessive Usage
15,Female,Smartphone,0.35,None,Urban,11-15 yrs,Mostly Recreational,High Risk,225,Excessive Usage
8,Male,Tablet,0.51,None,Rural,5-10 yrs,Mostly Educational,Low Risk,80,Within Limit
17,Female,Smartphone,0.34,None,Urban,16-20 yrs,Mostly Recreational,High Risk,265,Excessive Usage
11,Female,Tv,0.36,"Poor Sleep, Eye Strain",Rural,11-15 yrs,Mostly Recreational,High Risk,253,Excessive Usage
11,Male,Smartphone,0.45,"Poor Sleep, Eye Strain, Anxiety",Rural,11-15 yrs,Balanced,Moderate Risk,235,Excessive Usage
10,Male,Smartphone,0.46,None,Urban,5-10 yrs,Balanced,Moderate Risk,46,Within Limit
10,Female,Tv,0.59,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,319,Excessive Usage
11,Male,Smartphone,0.38,None,Rural,11-15 yrs,Mostly Recreational,High Risk,98,Within Limit
18,Male,Smartphone,0.32,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,295,Excessive Usage
8,Female,Tablet,0.45,"Poor Sleep, Eye Strain",Rural,5-10 yrs,Balanced,Moderate Risk,236,Excessive Usage
18,Female,Smartphone,0.36,None,Urban,16-20 yrs,Mostly Recreational,High Risk,254,Excessive Usage
18,Male,Laptop,0.46,"Poor Sleep, Anxiety",Urban,16-20 yrs,Balanced,Moderate Risk,346,Excessive Usage
9,Male,Smartphone,0.55,None,Urban,5-10 yrs,Mostly Educational,Low Risk,175,Excessive Usage
16,Male,Tv,0.39,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,370,Excessive Usage
17,Female,Tv,0.46,None,Urban,16-20 yrs,Balanced,Moderate Risk,161,Slightly Over Limit
9,Female,Tv,0.4,Eye Strain,Urban,5-10 yrs,Balanced,Moderate Risk,280,Excessive Usage
12,Male,Smartphone,0.32,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,304,Excessive Usage
16,Male,Laptop,0.39,"Poor Sleep, Eye Strain",Rural,16-20 yrs,Mostly Recreational,High Risk,229,Excessive Usage
16,Female,Smartphone,0.33,Eye Strain,Urban,16-20 yrs,Mostly Recreational,High Risk,283,Excessive Usage
15,Male,Smartphone,0.45,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,322,Excessive Usage
8,Female,Smartphone,0.5,None,Urban,5-10 yrs,Mostly Educational,Low Risk,162,Excessive Usage
8,Male,Tv,0.53,Poor Sleep,Rural,5-10 yrs,Mostly Educational,Low Risk,337,Excessive Usage
16,Male,Tv,0.36,"Poor Sleep, Eye Strain",Rural,16-20 yrs,Mostly Recreational,High Risk,297,Excessive Usage
18,Male,Laptop,0.49,None,Urban,16-20 yrs,Balanced,Moderate Risk,144,Within Limit
15,Male,Tablet,0.43,None,Urban,11-15 yrs,Balanced,Moderate Risk,257,Excessive Usage
17,Female,Tablet,0.41,Poor Sleep,Rural,16-20 yrs,Balanced,Moderate Risk,325,Excessive Usage
16,Female,Tablet,0.49,Anxiety,Rural,16-20 yrs,Balanced,Moderate Risk,227,Excessive Usage
14,Male,Laptop,0.39,Eye Strain,Urban,11-15 yrs,Mostly Recreational,High Risk,294,Excessive Usage
10,Female,Tv,0.45,None,Urban,5-10 yrs,Balanced,Moderate Risk,164,Excessive Usage
10,Female,Smartphone,0.53,None,Rural,5-10 yrs,Mostly Educational,Low Risk,100,Slightly Over Limit
9,Male,Smartphone,0.45,"Poor Sleep, Obesity Risk",Rural,5-10 yrs,Balanced,Moderate Risk,337,Excessive Usage
12,Female,Smartphone,0.39,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,281,Excessive Usage
10,Female,Smartphone,0.48,None,Rural,5-10 yrs,Balanced,Moderate Risk,161,Excessive Usage
13,Male,Smartphone,0.36,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,196,Excessive Usage
9,Male,Tv,0.46,None,Urban,5-10 yrs,Balanced,Moderate Risk,262,Excessive Usage
10,Male,Smartphone,0.42,None,Urban,5-10 yrs,Balanced,Moderate Risk,33,Within Limit
12,Female,Tablet,0.46,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,250,Excessive Usage
18,Female,Smartphone,0.44,None,Rural,16-20 yrs,Balanced,Moderate Risk,154,Slightly Over Limit
18,Female,Laptop,0.39,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,363,Excessive Usage
8,Male,Tv,0.47,"Poor Sleep, Obesity Risk",Rural,5-10 yrs,Balanced,Moderate Risk,283,Excessive Usage
8,Female,Tv,0.46,"Poor Sleep, Eye Strain",Urban,5-10 yrs,Balanced,Moderate Risk,190,Excessive Usage
17,Male,Smartphone,0.46,Poor Sleep,Rural,16-20 yrs,Balanced,Moderate Risk,393,Excessive Usage
